accession,sample_name,collection_date,isolation_source,geo_loc_name,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1,ww_surv_target_1_known_present,collection_site_id,project_name,collected_by,sequenced_by,ww_sample_site,ww_surv_jurisdiction,ww_surv_system_sample_id,ww_population_source,purpose_of_ww_sampling,concentration_method,extraction_method,extraction_control,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,ww_surv_target_1_protocol,ww_flow,BioSampleModel,enrichment_kit,amplicon_PCR_primer_scheme,amplicon_size,sequence_submitter_contact_email,raw_sequence_data_processing_method,experiment_id,SRA_id,collection_time,instantaneous_flow,collection_volume,ww_temperature,ww_ph,ww_industrial_effluent_percent,ww_total_suspended_solids,ww_pre_treatment,ww_surv_target_2,purpose_of_ww_sequencing,quality_control_method,quality_control_method_version,quality_control_determination,quality_control_issues,dehosting_method,organism,ww_processing_protocol,ww_endog_control_1,ww_endog_control_1_conc,ww_endog_control_1_protocol,ww_endog_control_1_units,ww_primary_sludge_retention_time,ww_surv_target_2_gene,ww_surv_target_2_known_present,ww_surv_target_2_protocol,ww_surv_target_2_conc,ww_surv_target_2_conc_unit,quality_control_details,sample_title,sequencing_protocol_name,site_id,assembly,Center_Name,Collection_time,library_preparation_kit,wwtp,barcode,loader,specimen_processing,specimen_processing_details,specimen_processing_id,Note,ENA_first_public,INSDC_center_name,INSDC_status,Submitter_Id,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),investigation_type,name_of_the_sampling_site,scientific_name,sewage_type,surveillance_target,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,host,host_disease,isolate,Contains_RNA_extracts_(sample_codes),Cq_(N1),Cq_(N2),Date_of_amplification_(ARTIC),External_Id,Forward_file_name,INSDC_center_alias,INSDC_first_public,INSDC_last_update,No._replicate,Reverse_file_name,Sequenced_where/how,Storage_location_at_NIB,environment_(biome),environment_(feature),environment_(material),sequencing_method,wastewater/sludge_environmental_package,DNA_concentration_(Qubit),Date_of_sending/transfer_to_sequencing_location,amount_or_size_of_sample_collected,area_of_sampling_site,geographic_location_(region_and_locality),nucleic_acid_amplification,nucleic_acid_extraction,population_size_of_the_catchment_area,receipt_date,sample_storage_duration,sample_storage_location,sample_transportation_date,sample_transportation_time,sampling_time_point,size_of_the_catchment_area,surveillance_target_(scientific_name),ww_surv_target_1_extract_unit,file_name,ww_endog_control_2_conc,ww_endog_control_2_units,ww_sample_salinity,ww_surv_target_1_extract,ww_surv_target_2_extract_unit,ww_endog_control_2,ww_endog_control_2_protocol,samp_rep_tech,lat_lon,attribute_package,ProjectAccession,PublicAccession,Genus,Species,Dehosting_Method,env_broad_scale,env_local_scale,env_medium,source_uvig,virus_enrich_appr,quality_control_issue,Copies/uL_input,sample_id,filename,filename2,filename3,filename4,sequenced_by[1],sequenced_by[2],sample_number,broad-scale_environmental_context,depth,environmental_medium,local_environmental_context,library_design,options,File_name,DD,"Department_of_Endocrinology,_Diabetes_and_Metabolism,_University_Children's_Hospital,_University_Medical_Centre_Ljubljana",2022-01-17,2023-06-01,wastewater/sludge,18.8,wastewater_treatment_plant_influent,wastewater_treatment_plant,Slovenia,WW0024_22_AR_1_S5_L001_R1_001.fastq.gz,Severe_acute_respiratory_syndrome_coronavirus_2,WW0024_22_AR_1_S5_L001_R2_001.fastq.gz,46,29.8,WW0022_22_AR_2_S4_L001_R1_001.fastq.gz,WW0022_22_AR_2_S4_L001_R2_001.fastq.gz,Remarks,replicate,primer_set,Ct,primer_pool,Min._Collection_Date,sample_storage_temperature,sample_storage_time,ww_sample_Site,NA,8.94232,0,12.50551,10.0474,11.79841,9.57418,12.19092,9.58483,10.11528,10.36565,10.20975,10.17251,11.72463,10.415,12.27225,12.45051,10.14083,12.61494,11.72608,12.31886,10.24266,11.34173,9.86547,12.283,10.00571,8.42243,9.85318,9.53854,9.72176,geo_loc_country,geo_loc_region,broker_name,collector_name,fasta_file,geographic_location
SRR25651773,,2023-02-23,wastewater,USA: California,750000.0,0,primary sludge,grab,,no,,,,Verily Life Sciences,wastewater treatment plant,,SESF120426,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25651773,SRX21377857,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25651146,,2023-02-23,wastewater,USA: California,230000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,78-230223,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25651146,SRX21377140,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26775319,20230223NY099033308A,2023-02-23,wastewater,USA: New York,6961.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230223NY099033308A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,2.1,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26775319,SRX22473949,7:00,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY6961,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR26773657,20230223NY027025976A,2023-02-23,wastewater,USA: New York,14525.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230223NY027025976A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,2.89,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26773657,SRX22472041,7:00,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY14525,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR25652248,,2023-02-23,wastewater,USA: California,44000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,201-230223,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25652248,SRX21378119,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25650523,,2023-02-23,wastewater,USA: California,60000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,161-230223,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25650523,SRX21376459,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26773658,20230223NY025020265A,2023-02-23,wastewater,USA: New York,1125.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230223NY025020265A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,0.688,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26773658,SRX22472040,5:30,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY1125,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR26773654,20230223NY051032328A,2023-02-23,wastewater,USA: New York,5361.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230223NY051032328A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,0.826,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26773654,SRX22472044,7:33,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY5361,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR26773656,20230223NY035026042A,2023-02-23,wastewater,USA: New York,23379.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230223NY035026042A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,6.247,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26773656,SRX22472042,7:30,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY23379,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR25652910,,2023-02-23,wastewater,USA: California,58496.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,192-230223,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25652910,SRX21379107,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA58496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26772768,20230222NY049020125A,2023-02-22,wastewater,USA: New York,3953.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230222NY049020125A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,1.5,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26772768,SRX22471145,8:00,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY3953,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR26772773,20230222NY027026271A,2023-02-22,wastewater,USA: New York,21516.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230222NY027026271A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,1.8,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26772773,SRX22471140,7:00,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY21516,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR25650524,,2023-02-22,wastewater,USA: California,70000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,143-230222,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25650524,SRX21376458,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25650525,,2023-02-22,wastewater,USA: California,70000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,143-230222,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25650525,SRX21376457,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26772769,20230222NY045025151A,2023-02-22,wastewater,USA: New York,4077.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230222NY045025151A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,1.773,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26772769,SRX22471144,7:00,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY4077,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR26773666,20230222NY119026689A,2023-02-22,wastewater,USA: New York,523765.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230222NY119026689A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,68.0,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26773666,SRX22472032,23:59,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY523765,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR26773668,20230222NY109026638A,2023-02-22,wastewater,USA: New York,56967.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230222NY109026638A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,5.4,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26773668,SRX22472030,8:00,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY56967,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR25650519,,2023-02-22,wastewater,USA: California,1600000.0,0,primary sludge,grab,,no,,,,Verily Life Sciences,wastewater treatment plant,,160-230222,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25650519,SRX21376463,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA1600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25651152,,2023-02-22,wastewater,USA: California,890000.0,0,primary sludge,grab,,no,,,,Verily Life Sciences,wastewater treatment plant,,40-230222,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25651152,SRX21377134,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25651139,,2023-02-22,wastewater,USA: California,1500000.0,0,primary sludge,grab,,no,,,,Verily Life Sciences,wastewater treatment plant,,SJ200858,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25651139,SRX21377147,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25650529,,2023-02-22,wastewater,USA: California,230000.0,0,primary sludge,grab,,no,,,,Verily Life Sciences,wastewater treatment plant,,107-230222,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25650529,SRX21376453,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25650528,,2023-02-22,wastewater,USA: California,230000.0,0,primary sludge,grab,,no,,,,Verily Life Sciences,wastewater treatment plant,,107-230222,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25650528,SRX21376454,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26772762,20230222NY071026522A,2023-02-22,wastewater,USA: New York,8568.0,24,raw wastewater,composite,SARS-CoV-2,yes,,NYWWSN,New York State Department of Health,New York Department of Health,wastewater treatment plant,ny,20230222NY071026522A,,public health surveillance community-level,ultracentrifugation,zymo quick-rna fungal/bacterial miniprep #r2014,,-1.0,copies/L wastewater,ip2 and ip4 combined,,1.1,SARS-CoV-2: wastewater surveillance,,,,nwss@cdc.gov,,SRR26772762,SRX22471151,7:30,,,,,,,,,SARS-CoV2 surveillance,,,,,,,,,,,,,,,,,,,,,NY8568,NC_045512.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,New York,,,,
SRR25651153,,2023-02-22,wastewater,USA: California,890000.0,0,primary sludge,grab,,no,,,,Verily Life Sciences,wastewater treatment plant,,40-230222,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25651153,SRX21377133,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR25652596,,2023-02-22,wastewater,USA: California,44000.0,24,post grit removal,composite,,no,,,,Verily Life Sciences,wastewater treatment plant,,201-230222,,public health surveillance community-level,Ceres Nanotrap Microbiome A,Chemagic Viral DNA/RNA 300 and Zymo OneStep PCR Inhibitor Removal kit,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,SSIV VILO RT + NEB Q5 PCR using ARTIC V4.1 primers covering spike,artic-v4.1 spike,,publichealthteam@verily.com,,SRR25652596,SRX21378462,,,,,,,,,,,,,,,SRA human read removal tool,,,,,,,,,,,,,,,,CA44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,California,,,,
SRR26319992,,2023-02-22,wastewater,USA: Michigan,-1.0,24h,raw wastewater,composite,SARS-CoV-2,Yes,,,MDHHS,University of Missouri,,,,,,,,,-1.0,,,,,SARS-CoV-2: wastewater surveillance,,,,,,SRR26319992,SRX22028153,,,,,,,,,,,,,,,,wastewater metagenome,,,,,,,,,,,,,,,MI-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Michigan,,,,
